datetime,open,high,low,close,volume,dec,RD,GS,uptail,downtail,open1,high1,low1,close1,volume1,dec1,RD1,uptail1,downtail1,GS1,open2,high2,low2,close2,volume2,dec2,RD2,uptail2,downtail2,GS2
2021-08-05 09:00:00,2633.55,2645,2573.11,2594,501043.835,71.89,-39.55,0.00014348046,11.45,20.89,2683.25,2693.22,2631,2633.54,233360.226,62.22,-49.71,9.97,2.54,0.000266626413,2686,2695.85,2666.8,2683.23,138592.602,29.05,-2.77,9.85,16.43,0.000209607148
2021-08-05 10:00:00,2593.99,2618,2588.76,2614.73,212529.417,29.24,20.74,0.000137580954,3.27,5.23,2633.55,2645,2573.11,2594,501043.835,71.89,-39.55,11.45,20.89,0.00014348046,2683.25,2693.22,2631,2633.54,233360.226,62.22,-49.71,9.97,2.54,0.000266626413
2021-08-05 11:00:00,2614.77,2646.99,2600,2620.98,273151.145,46.99,6.21,0.000172029299,26.01,14.77,2593.99,2618,2588.76,2614.73,212529.417,29.24,20.74,3.27,5.23,0.000137580954,2633.55,2645,2573.11,2594,501043.835,71.89,-39.55,11.45,20.89,0.00014348046
2021-08-05 12:00:00,2620.96,2641.96,2527,2606.08,619965.355,114.96,-14.88,0.000185429716,21,79.08,2614.77,2646.99,2600,2620.98,273151.145,46.99,6.21,26.01,14.77,0.000172029299,2593.99,2618,2588.76,2614.73,212529.417,29.24,20.74,3.27,5.23,0.000137580954
2021-08-05 13:00:00,2606.08,2687.24,2591.54,2686.24,500839.986,95.7,80.16,0.000191078993,1,14.54,2620.96,2641.96,2527,2606.08,619965.355,114.96,-14.88,21,79.08,0.000185429716,2614.77,2646.99,2600,2620.98,273151.145,46.99,6.21,26.01,14.77,0.000172029299
2021-08-05 14:00:00,2686.18,2824.99,2666.1,2805.8,1074611.554,158.89,119.62,0.000147858079,19.19,20.08,2606.08,2687.24,2591.54,2686.24,500839.986,95.7,80.16,1,14.54,0.000191078993,2620.96,2641.96,2527,2606.08,619965.355,114.96,-14.88,21,79.08,0.000185429716
2021-08-05 15:00:00,2805.8,2807.14,2725.61,2755.53,470407.092,81.53,-50.27,0.000173317965,1.34,29.92,2686.18,2824.99,2666.1,2805.8,1074611.554,158.89,119.62,19.19,20.08,0.000147858079,2606.08,2687.24,2591.54,2686.24,500839.986,95.7,80.16,1,14.54,0.000191078993
2021-08-05 16:00:00,2755.53,2795.35,2745.35,2787.85,270622.543,50,32.32,0.000184759183,7.5,10.18,2805.8,2807.14,2725.61,2755.53,470407.092,81.53,-50.27,1.34,29.92,0.000173317965,2686.18,2824.99,2666.1,2805.8,1074611.554,158.89,119.62,19.19,20.08,0.000147858079
2021-08-05 17:00:00,2787.86,2820,2776.63,2811.39,297464.035,43.37,23.53,0.000145799138,8.61,11.23,2755.53,2795.35,2745.35,2787.85,270622.543,50,32.32,7.5,10.18,0.000184759183,2805.8,2807.14,2725.61,2755.53,470407.092,81.53,-50.27,1.34,29.92,0.000173317965
2021-08-05 18:00:00,2811.52,2834.36,2784.37,2801.39,220954.576,49.99,-10.13,0.000226245597,22.84,17.02,2787.86,2820,2776.63,2811.39,297464.035,43.37,23.53,8.61,11.23,0.000145799138,2755.53,2795.35,2745.35,2787.85,270622.543,50,32.32,7.5,10.18,0.000184759183
2021-08-05 19:00:00,2801.4,2821.15,2786.12,2796.8,151961.225,35.03,-4.6,0.000230519331,19.75,10.68,2811.52,2834.36,2784.37,2801.39,220954.576,49.99,-10.13,22.84,17.02,0.000226245597,2787.86,2820,2776.63,2811.39,297464.035,43.37,23.53,8.61,11.23,0.000145799138
2021-08-05 20:00:00,2796.79,2817.27,2794.03,2803.66,92386.661,23.24,6.87,0.000251551466,13.61,2.76,2801.4,2821.15,2786.12,2796.8,151961.225,35.03,-4.6,19.75,10.68,0.000230519331,2811.52,2834.36,2784.37,2801.39,220954.576,49.99,-10.13,22.84,17.02,0.000226245597
2021-08-05 21:00:00,2803.67,2845.9,2785.27,2826.07,173243.899,60.63,22.4,0.000349969034,19.83,18.4,2796.79,2817.27,2794.03,2803.66,92386.661,23.24,6.87,13.61,2.76,0.000251551466,2801.4,2821.15,2786.12,2796.8,151961.225,35.03,-4.6,19.75,10.68,0.000230519331
2021-08-05 22:00:00,2826.46,2843.61,2805.24,2807.64,146185.275,38.37,-18.82,0.000262475136,17.15,2.4,2803.67,2845.9,2785.27,2826.07,173243.899,60.63,22.4,19.83,18.4,0.000349969034,2796.79,2817.27,2794.03,2803.66,92386.661,23.24,6.87,13.61,2.76,0.000251551466
2021-08-05 23:00:00,2807.56,2834.5,2807.56,2826.8,86408.565,26.94,19.24,0.000311774649,7.7,4.54747E-13,2826.46,2843.61,2805.24,2807.64,146185.275,38.37,-18.82,17.15,2.4,0.000262475136,2803.67,2845.9,2785.27,2826.07,173243.899,60.63,22.4,19.83,18.4,0.000349969034
2021-08-06 00:00:00,2826.81,2846.63,2760,2777.92,266821.144,86.63,-48.89,0.000324674419,19.82,17.92,2807.56,2834.5,2807.56,2826.8,86408.565,26.94,19.24,7.7,4.54747E-13,0.000311774649,2826.46,2843.61,2805.24,2807.64,146185.275,38.37,-18.82,17.15,2.4,0.000262475136
2021-08-06 01:00:00,2777.91,2815.64,2777.03,2807.84,140397.042,38.61,29.93,0.000275005794,7.8,0.88,2826.81,2846.63,2760,2777.92,266821.144,86.63,-48.89,19.82,17.92,0.000324674419,2807.56,2834.5,2807.56,2826.8,86408.565,26.94,19.24,7.7,4.54747E-13,0.000311774649
2021-08-06 02:00:00,2807.83,2807.98,2766.25,2773.87,120222.263,41.73,-33.96,0.000347107091,0.15,7.62,2777.91,2815.64,2777.03,2807.84,140397.042,38.61,29.93,7.8,0.88,0.000275005794,2826.81,2846.63,2760,2777.92,266821.144,86.63,-48.89,19.82,17.92,0.000324674419
2021-08-06 03:00:00,2773.9,2793,2752.28,2761.98,117827.938,40.72,-11.92,0.000345588667,19.1,9.7,2807.83,2807.98,2766.25,2773.87,120222.263,41.73,-33.96,0.15,7.62,0.000347107091,2777.91,2815.64,2777.03,2807.84,140397.042,38.61,29.93,7.8,0.88,0.000275005794
2021-08-06 04:00:00,2762.35,2776.39,2750.3,2773.5,102462.358,26.09,11.15,0.000254630095,2.89,12.05,2773.9,2793,2752.28,2761.98,117827.938,40.72,-11.92,19.1,9.7,0.000345588667,2807.83,2807.98,2766.25,2773.87,120222.263,41.73,-33.96,0.15,7.62,0.000347107091
2021-08-06 05:00:00,2773.5,2793.03,2765.21,2785.43,93864.208,27.82,11.93,0.000296385604,7.6,8.29,2762.35,2776.39,2750.3,2773.5,102462.358,26.09,11.15,2.89,12.05,0.000254630095,2773.9,2793,2752.28,2761.98,117827.938,40.72,-11.92,19.1,9.7,0.000345588667
2021-08-06 06:00:00,2785.33,2808.75,2771,2784.56,162131.715,37.75,-0.77,0.000232835383,23.42,13.56,2773.5,2793.03,2765.21,2785.43,93864.208,27.82,11.93,7.6,8.29,0.000296385604,2762.35,2776.39,2750.3,2773.5,102462.358,26.09,11.15,2.89,12.05,0.000254630095
2021-08-06 07:00:00,2784.55,2792,2765.48,2768.7,98360.663,26.52,-15.85,0.00026961998,7.45,3.22,2785.33,2808.75,2771,2784.56,162131.715,37.75,-0.77,23.42,13.56,0.000232835383,2773.5,2793.03,2765.21,2785.43,93864.208,27.82,11.93,7.6,8.29,0.000296385604
2021-08-06 08:00:00,2768.7,2784,2756.76,2779.27,105117.062,27.24,10.57,0.000259139663,4.73,11.94,2784.55,2792,2765.48,2768.7,98360.663,26.52,-15.85,7.45,3.22,0.00026961998,2785.33,2808.75,2771,2784.56,162131.715,37.75,-0.77,23.42,13.56,0.000232835383
2021-08-06 09:00:00,2779.27,2779.28,2760,2760.33,84639.638,19.28,-18.94,0.000227789254,0.01,0.33,2768.7,2784,2756.76,2779.27,105117.062,27.24,10.57,4.73,11.94,0.000259139663,2784.55,2792,2765.48,2768.7,98360.663,26.52,-15.85,7.45,3.22,0.00026961998
